customer_id,geography,employment_type,monthly_income_inr,bureau_band,cashflow_consistency,balance_volatility,spending_shock_flag
C100000,Tier-3,Gig,13600,Thin-file,0.296,0.822,0
C100001,Tier-2,Self-employed,45100,Prime,0.467,0.315,0
C100002,Tier-3,Salaried,65900,Near-prime,0.743,0.236,0
C100003,Tier-2,Salaried,72600,Prime,0.82,0.179,0
C100004,Metro,Salaried,37500,Subprime,0.98,0.05,0
C100005,Tier-3,Salaried,36400,Near-prime,0.684,0.524,0
C100006,Tier-3,Salaried,44700,Prime,0.838,0.169,0
C100007,Tier-3,Gig,19500,Near-prime,0.644,0.305,0
C100008,Metro,Salaried,42500,Prime,0.694,0.406,0
C100009,Tier-2,Gig,10600,Subprime,0.725,0.168,0
C100010,Tier-2,Informal,12800,Subprime,0.362,0.59,0
C100011,Tier-3,Salaried,23300,Prime,0.633,0.456,0
C100012,Tier-2,Informal,10700,Near-prime,0.638,0.315,0
C100013,Tier-3,Salaried,33500,Thin-file,0.762,0.458,0
C100014,Tier-2,Self-employed,51000,Near-prime,0.462,0.648,0
C100015,Metro,Informal,19600,Thin-file,0.38,0.678,1
C100016,Tier-2,Gig,9000,Near-prime,0.414,0.663,0
C100017,Metro,Salaried,45100,Near-prime,0.695,0.214,0
C100018,Tier-3,Salaried,36100,Prime,0.79,0.255,0
C100019,Tier-2,Salaried,41900,Prime,0.722,0.204,0
C100020,Tier-2,Informal,13700,Subprime,0.705,0.468,0
C100021,Metro,Salaried,27700,Prime,0.72,0.539,0
C100022,Tier-3,Self-employed,43000,Thin-file,0.587,0.338,0
C100023,Tier-3,Salaried,37400,Near-prime,0.959,0.05,0
C100024,Tier-3,Salaried,23500,Prime,0.929,0.14,0
C100025,Metro,Self-employed,21900,Near-prime,0.705,0.465,0
C100026,Tier-2,Salaried,42200,Thin-file,0.715,0.537,0
C100027,Metro,Self-employed,28700,Thin-file,0.794,0.254,0
C100028,Metro,Self-employed,51100,Prime,0.556,0.641,0
C100029,Tier-2,Self-employed,37100,Thin-file,0.468,0.594,0
C100030,Tier-2,Self-employed,88000,Near-prime,0.529,0.482,0
C100031,Tier-3,Salaried,30800,Subprime,0.871,0.05,0
C100032,Metro,Gig,71000,Thin-file,0.473,0.509,0
C100033,Tier-2,Self-employed,35800,Thin-file,0.633,0.417,0
C100034,Tier-2,Self-employed,25600,Near-prime,0.479,0.527,0
C100035,Metro,Salaried,29600,Near-prime,0.874,0.448,0
C100036,Metro,Salaried,32100,Near-prime,0.671,0.407,0
C100037,Tier-2,Gig,28100,Near-prime,0.392,0.633,1
C100038,Metro,Gig,30600,Thin-file,0.479,0.418,0
C100039,Tier-2,Salaried,16700,Thin-file,0.597,0.414,0
C100040,Tier-2,Salaried,60400,Near-prime,0.647,0.346,0
C100041,Tier-3,Salaried,62000,Thin-file,0.654,0.387,0
C100042,Tier-2,Gig,10100,Thin-file,0.537,0.704,0
C100043,Metro,Salaried,75000,Subprime,0.674,0.443,0
C100044,Tier-3,Informal,33800,Thin-file,0.476,0.608,0
C100045,Tier-3,Salaried,14200,Subprime,0.746,0.278,0
C100046,Tier-2,Informal,15400,Prime,0.375,0.638,0
C100047,Metro,Salaried,32500,Prime,0.927,0.154,0
